Date : 2024-02-05 15:48:01
Directory : d:\Work\Arcelik\Projects\ArcelikAI
Total : 137 files,  17317 codes, 428 comments, 983 blanks, all 18728 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| ArcelikWebApi\ArcelikWebApi\obj\Debug                                                                                                           |         10 |         72 |         22 |         13 |        107 |
| ArcelikWebApi\ArcelikWebApi\obj\Debug\net7.0                                                                                                    |         10 |         72 |         22 |         13 |        107 |
| ArcelikWebApi\ArcelikWebApi\obj\Debug\net7.0 (Files)                                                                                            |          7 |         63 |         22 |         13 |         98 |
| ArcelikWebApi\ArcelikWebApi\obj\Debug\net7.0\staticwebassets                                                                                    |          3 |          9 |          0 |          0 |          9 |
| public                                                                                                                                          |          3 |         31 |          0 |          2 |         33 |
| src                                                                                                                                             |         75 |      3,978 |        308 |        395 |      4,681 |
| src (Files)                                                                                                                                     |          5 |        258 |         12 |         33 |        303 |
| src\assets                                                                                                                                      |          1 |          1 |          0 |          0 |          1 |
| src\components                                                                                                                                  |         49 |      2,567 |        133 |        256 |      2,956 |
| src\components\Footer                                                                                                                           |          2 |         18 |          0 |          4 |         22 |
| src\components\Form                                                                                                                             |         13 |        515 |         11 |         66 |        592 |
| src\components\Loading                                                                                                                          |          4 |        168 |          8 |         14 |        190 |
| src\components\Main                                                                                                                             |          3 |        379 |          4 |         26 |        409 |
| src\components\Modal                                                                                                                            |          2 |        110 |          2 |          5 |        117 |
| src\components\Navbar                                                                                                                           |          2 |        272 |          7 |         26 |        305 |
| src\components\Quiz                                                                                                                             |          9 |        386 |         31 |         47 |        464 |
| src\components\Video                                                                                                                            |          7 |        295 |         29 |         30 |        354 |
| src\components\Window                                                                                                                           |          7 |        424 |         41 |         38 |        503 |
| src\hooks                                                                                                                                       |          1 |        105 |          5 |         11 |        121 |
| src\layouts                                                                                                                                     |          2 |         20 |          4 |          4 |         28 |
| src\pages                                                                                                                                       |          6 |        384 |          7 |         38 |        429 |
| src\redux                                                                                                                                       |          7 |        348 |          7 |         34 |        389 |
| src\utils                                                                                                                                       |          4 |        295 |        140 |         19 |        454 |
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                        | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\Work\Arcelik\Projects\ArcelikAI\.eslintrc.cjs                                                                                                | JavaScript         |         22 |          0 |          1 |         23 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\ArcelikWebApi.csproj                                                             | XML                |         37 |          0 |          4 |         41 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\Controllers\AiModelsController.cs                                                | C#                 |         24 |          3 |          6 |         33 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\Controllers\ApplicationSettingsController.cs                                     | C#                 |         25 |          0 |          6 |         31 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\Controllers\CreateAppController.cs                                               | C#                 |         72 |          5 |         19 |         96 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\Controllers\QuizController.cs                                                    | C#                 |        153 |         21 |         49 |        223 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\Controllers\SaveUserController.cs                                                | C#                 |         68 |          4 |         17 |         89 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\Controllers\UserVideoController.cs                                               | C#                 |         97 |          6 |         21 |        124 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\Data\ApplicationDbContext.cs                                                     | C#                 |        155 |         25 |         32 |        212 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\Middlewares\TokenValidationMiddleware.cs                                         | C#                 |        120 |          2 |         19 |        141 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\Migrations\20240202152921_FinalQuestionsAndMigration.Designer.cs                 | C#                 |        792 |          2 |        103 |        897 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\Migrations\20240202152921_FinalQuestionsAndMigration.cs                          | C#                 |        351 |          3 |         34 |        388 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\Migrations\ApplicationDbContextModelSnapshot.cs                                  | C#                 |        790 |          1 |        103 |        894 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\Models\AIModels.cs                                                               | C#                 |         16 |          1 |          4 |         21 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\Models\AddAiAppViewModel.cs                                                      | C#                 |         17 |          0 |         12 |         29 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\Models\AiApplication.cs                                                          | C#                 |         21 |          0 |         15 |         36 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\Models\ApplicationSettings.cs                                                    | C#                 |         12 |          0 |          3 |         15 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\Models\FileUpload.cs                                                             | C#                 |          8 |          0 |          2 |         10 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\Models\Quiz\Choices.cs                                                           | C#                 |         15 |          2 |          7 |         24 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\Models\Quiz\CorrectChoices.cs                                                    | C#                 |         18 |          2 |          8 |         28 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\Models\Quiz\CorrectSorting.cs                                                    | C#                 |         16 |          0 |          8 |         24 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\Models\Quiz\CorrectText.cs                                                       | C#                 |         16 |          0 |          7 |         23 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\Models\Quiz\QuestionDTO.cs                                                       | C#                 |         15 |          0 |          4 |         19 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\Models\Quiz\Questions.cs                                                         | C#                 |         18 |          0 |         10 |         28 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\Models\Quiz\UserResponseDTO.cs                                                   | C#                 |         11 |          0 |          6 |         17 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\Models\TutorialViewModel.cs                                                      | C#                 |          8 |          0 |          2 |         10 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\Models\Users.cs                                                                  | C#                 |         19 |          1 |          9 |         29 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\Models\Video.cs                                                                  | C#                 |         13 |          0 |          6 |         19 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\Models\WatchedVideoUpdateRequest.cs                                              | C#                 |         10 |          0 |          5 |         15 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\Program.cs                                                                       | C#                 |         53 |          3 |         20 |         76 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\Properties\launchSettings.json                                                   | JSON               |         41 |          0 |          0 |         41 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\Services\BlobService.cs                                                          | C#                 |         24 |         16 |         13 |         53 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\Services\IBlobService.cs                                                         | C#                 |          9 |          0 |          3 |         12 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\appsettings.Development.json                                                     | JSON               |          8 |          0 |          2 |         10 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\appsettings.json                                                                 | JSON               |         20 |          0 |          1 |         21 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\bin\Debug\net7.0\ArcelikWebApi.deps.json                                         | JSON               |      1,269 |          0 |          0 |      1,269 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\bin\Debug\net7.0\ArcelikWebApi.runtimeconfig.json                                | JSON               |         20 |          0 |          0 |         20 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\bin\Debug\net7.0\appsettings.Development.json                                    | JSON               |          8 |          0 |          2 |         10 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\bin\Debug\net7.0\appsettings.json                                                | JSON               |         20 |          0 |          1 |         21 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\obj\ArcelikWebApi.csproj.EntityFrameworkCore.targets                             | XML                |         28 |          0 |          1 |         29 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\obj\ArcelikWebApi.csproj.nuget.dgspec.json                                       | JSON               |        106 |          0 |          0 |        106 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\obj\ArcelikWebApi.csproj.nuget.g.props                                           | XML                |         25 |          0 |          0 |         25 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\obj\ArcelikWebApi.csproj.nuget.g.targets                                         | XML                |          8 |          0 |          0 |          8 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\obj\Debug\net7.0\.NETCoreApp,Version=v7.0.AssemblyAttributes.cs                  | C#                 |          3 |          1 |          1 |          5 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\obj\Debug\net7.0\ArcelikWebApi.AssemblyInfo.cs                                   | C#                 |          9 |         10 |          5 |         24 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\obj\Debug\net7.0\ArcelikWebApi.GeneratedMSBuildEditorConfig.editorconfig         | Properties         |         19 |          0 |          1 |         20 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\obj\Debug\net7.0\ArcelikWebApi.GlobalUsings.g.cs                                 | C#                 |         16 |          1 |          1 |         18 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\obj\Debug\net7.0\ArcelikWebApi.MvcApplicationPartsAssemblyInfo.cs                | C#                 |          4 |         10 |          5 |         19 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\obj\Debug\net7.0\ArcelikWebApi.sourcelink.json                                   | JSON               |          1 |          0 |          0 |          1 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\obj\Debug\net7.0\staticwebassets.build.json                                      | JSON               |         11 |          0 |          0 |         11 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\obj\Debug\net7.0\staticwebassets\msbuild.build.ArcelikWebApi.props               | XML                |          3 |          0 |          0 |          3 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\obj\Debug\net7.0\staticwebassets\msbuild.buildMultiTargeting.ArcelikWebApi.props | XML                |          3 |          0 |          0 |          3 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\obj\Debug\net7.0\staticwebassets\msbuild.buildTransitive.ArcelikWebApi.props     | XML                |          3 |          0 |          0 |          3 |
| d:\Work\Arcelik\Projects\ArcelikAI\ArcelikWebApi\ArcelikWebApi\obj\project.assets.json                                                          | JSON               |      3,828 |          0 |          0 |      3,828 |
| d:\Work\Arcelik\Projects\ArcelikAI\README.md                                                                                                    | Markdown           |          5 |          0 |          4 |          9 |
| d:\Work\Arcelik\Projects\ArcelikAI\index.html                                                                                                   | HTML               |         13 |          0 |          0 |         13 |
| d:\Work\Arcelik\Projects\ArcelikAI\package-lock.json                                                                                            | JSON               |      4,768 |          0 |          1 |      4,769 |
| d:\Work\Arcelik\Projects\ArcelikAI\package.json                                                                                                 | JSON               |         36 |          0 |          1 |         37 |
| d:\Work\Arcelik\Projects\ArcelikAI\public\arcelik.svg                                                                                           | XML                |         12 |          0 |          0 |         12 |
| d:\Work\Arcelik\Projects\ArcelikAI\public\arcelik_global.svg                                                                                    | XML                |         18 |          0 |          2 |         20 |
| d:\Work\Arcelik\Projects\ArcelikAI\public\vite.svg                                                                                              | XML                |          1 |          0 |          0 |          1 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\App.css                                                                                                  | CSS                |         56 |          7 |          4 |         67 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\App.jsx                                                                                                  | JavaScript JSX     |         55 |          1 |          8 |         64 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\api.jsx                                                                                                  | JavaScript JSX     |        137 |          4 |         18 |        159 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\assets\react.svg                                                                                         | XML                |          1 |          0 |          0 |          1 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Footer\Footer.css                                                                             | CSS                |         12 |          0 |          1 |         13 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Footer\Footer.jsx                                                                             | JavaScript JSX     |          6 |          0 |          3 |          9 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Form\AiButtons.css                                                                            | CSS                |         70 |          3 |         10 |         83 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Form\AiButtons.jsx                                                                            | JavaScript JSX     |         30 |          1 |          5 |         36 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Form\CheckBoxContainer.css                                                                    | CSS                |         22 |          0 |          4 |         26 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Form\CheckboxContainer.jsx                                                                    | JavaScript JSX     |         26 |          1 |          3 |         30 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Form\FormHeader.jsx                                                                           | JavaScript JSX     |         26 |          0 |          1 |         27 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Form\InitialInputs.css                                                                        | CSS                |         39 |          0 |          5 |         44 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Form\InitialInputs.jsx                                                                        | JavaScript JSX     |         40 |          1 |          5 |         46 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Form\PeriodAndTemperature.css                                                                 | CSS                |         31 |          0 |          4 |         35 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Form\PeriodAndTemperature.jsx                                                                 | JavaScript JSX     |         38 |          1 |          4 |         43 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Form\StepBar.css                                                                              | CSS                |         14 |          0 |          2 |         16 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Form\StepBar.jsx                                                                              | JavaScript JSX     |         15 |          1 |          3 |         19 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Form\UploadContainer.css                                                                      | CSS                |         76 |          0 |          9 |         85 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Form\UploadContainer.jsx                                                                      | JavaScript JSX     |         88 |          3 |         11 |        102 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Loading\ArcelikLoading.css                                                                    | CSS                |         78 |          6 |          7 |         91 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Loading\ArcelikLoading.jsx                                                                    | JavaScript JSX     |         28 |          0 |          2 |         30 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Loading\LoadingLayer.css                                                                      | CSS                |         35 |          0 |          2 |         37 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Loading\LoadingLayer.jsx                                                                      | JavaScript JSX     |         27 |          2 |          3 |         32 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Main\ContentData.jsx                                                                          | JavaScript JSX     |        102 |          0 |          2 |        104 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Main\Main.css                                                                                 | CSS                |         89 |          2 |         12 |        103 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Main\Main.jsx                                                                                 | JavaScript JSX     |        188 |          2 |         12 |        202 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Modal\WarningModal.css                                                                        | CSS                |         80 |          2 |          4 |         86 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Modal\WarningModal.jsx                                                                        | JavaScript JSX     |         30 |          0 |          1 |         31 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Navbar\Navbar.css                                                                             | CSS                |        174 |          6 |         21 |        201 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Navbar\Navbar.jsx                                                                             | JavaScript JSX     |         98 |          1 |          5 |        104 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Quiz\DragAndSortQ.jsx                                                                         | JavaScript JSX     |         52 |          3 |          7 |         62 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Quiz\MultiSelectQ.jsx                                                                         | JavaScript JSX     |         36 |          1 |          4 |         41 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Quiz\OpenEndedQ.jsx                                                                           | JavaScript JSX     |         21 |          1 |          3 |         25 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Quiz\QuestionPicker.jsx                                                                       | JavaScript JSX     |         46 |          4 |          9 |         59 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Quiz\Questions.css                                                                            | CSS                |         61 |          9 |          6 |         76 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Quiz\SingleSelectQ.jsx                                                                        | JavaScript JSX     |         32 |          4 |          5 |         41 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Quiz\TimeBar.css                                                                              | CSS                |         36 |          4 |          0 |         40 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Quiz\TimeBar.jsx                                                                              | JavaScript JSX     |         71 |          4 |          9 |         84 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Quiz\TrueOrFalseQ.jsx                                                                         | JavaScript JSX     |         31 |          1 |          4 |         36 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Video\CourseVideo.css                                                                         | CSS                |         35 |          7 |          6 |         48 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Video\CourseVideo.jsx                                                                         | JavaScript JSX     |         70 |          7 |          8 |         85 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Video\FullProgressBar.jsx                                                                     | JavaScript JSX     |         14 |          0 |          1 |         15 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Video\ProgressBar.css                                                                         | CSS                |         27 |          3 |          1 |         31 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Video\ProgressBar.jsx                                                                         | JavaScript JSX     |         14 |          0 |          1 |         15 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Video\VideoButtonContainer.css                                                                | CSS                |         51 |          3 |          5 |         59 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Video\VideoButtonContainer.jsx                                                                | JavaScript JSX     |         84 |          9 |          8 |        101 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Window\BottomContent.jsx                                                                      | JavaScript JSX     |         49 |          0 |          4 |         53 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Window\Window.css                                                                             | CSS                |        170 |         19 |         12 |        201 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Window\Window.jsx                                                                             | JavaScript JSX     |         81 |          1 |          5 |         87 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Window\WindowButtons.jsx                                                                      | JavaScript JSX     |         43 |         10 |          3 |         56 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Window\WindowContent.jsx                                                                      | JavaScript JSX     |         19 |          0 |          5 |         24 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Window\WindowHeader.jsx                                                                       | JavaScript JSX     |          9 |          8 |          3 |         20 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\components\Window\WindowTabs.jsx                                                                         | JavaScript JSX     |         53 |          3 |          6 |         62 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\hooks\useVideoPlayer.jsx                                                                                 | JavaScript JSX     |        105 |          5 |         11 |        121 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\index.css                                                                                                | CSS                |          0 |          0 |          1 |          1 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\layouts\RootLayout.css                                                                                   | CSS                |          4 |          4 |          1 |          9 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\layouts\RootLayout.jsx                                                                                   | JavaScript JSX     |         16 |          0 |          3 |         19 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\main.jsx                                                                                                 | JavaScript JSX     |         10 |          0 |          2 |         12 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\pages\Anteroom.jsx                                                                                       | JavaScript JSX     |         40 |          0 |          6 |         46 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\pages\Form.css                                                                                           | CSS                |         87 |          6 |          6 |         99 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\pages\Form.jsx                                                                                           | JavaScript JSX     |        210 |          1 |         18 |        229 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\pages\Home.jsx                                                                                           | JavaScript JSX     |          9 |          0 |          2 |         11 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\pages\NotFound.css                                                                                       | CSS                |         26 |          0 |          4 |         30 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\pages\NotFound.jsx                                                                                       | JavaScript JSX     |         12 |          0 |          2 |         14 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\redux\navIndexSlice.js                                                                                   | JavaScript         |         17 |          0 |          4 |         21 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\redux\quizSlice.js                                                                                       | JavaScript         |         81 |          1 |          5 |         87 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\redux\settingSlice.js                                                                                    | JavaScript         |         21 |          0 |          5 |         26 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\redux\store.js                                                                                           | JavaScript         |         20 |          0 |          2 |         22 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\redux\userSlice.js                                                                                       | JavaScript         |         56 |          3 |          7 |         66 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\redux\videoSlice.js                                                                                      | JavaScript         |        107 |          3 |          7 |        117 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\redux\windowSlice.js                                                                                     | JavaScript         |         46 |          0 |          4 |         50 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\utils\guides.jsx                                                                                         | JavaScript JSX     |        185 |         24 |          4 |        213 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\utils\questions.js                                                                                       | JavaScript         |         81 |        116 |          3 |        200 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\utils\settings.json                                                                                      | JSON with Comments |          6 |          0 |          0 |          6 |
| d:\Work\Arcelik\Projects\ArcelikAI\src\utils\trash.js                                                                                           | JavaScript         |         23 |          0 |         12 |         35 |
| d:\Work\Arcelik\Projects\ArcelikAI\vite.config.js                                                                                               | JavaScript         |          8 |          1 |          2 |         11 |
| Total                                                                                                                                           |                    |     17,317 |        428 |        983 |     18,728 |
+-------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
